eventId,name,description,type,peoplecount,agerecommended,daysleft,location
1,Event1,description1,infotainment,130,14,12,Chittoor
2,Event2,description2,sports,294,36,13,Visakhapatnam
3,Event3,description3,entertainment|freeentry|competition,47,20,12,Anantapur
4,Event4,description4,entertainment,367,25,39,Palakkad
5,Event5,description5,entertainment|freeentry,403,48,2,Bangalore
6,Event6,description6,music|online|food,56,48,12,Nizamabad
7,Event7,description7,technology|music|freeentry,377,28,30,Anantapur
8,Event8,description8,infotainment,481,22,38,Guntur
9,Event9,description9,food|outdoor|online,489,41,34,Davangere
10,Event10,description10,entertainment|technology,146,46,3,Davangere
11,Event11,description11,online|competition,192,11,9,Bangalore
12,Event12,description12,online|food|competition,291,10,11,Mangalore
13,Event13,description13,dance|entertainment|food,253,49,29,Davangere
14,Event14,description14,sports,270,3,12,Kochi
15,Event15,description15,freeentry|entertainment|competition,380,14,24,Palakkad
16,Event16,description16,freeentry|food|sports,67,19,15,Tiruchirappalli
17,Event17,description17,freeentry|music|entertainment,39,9,33,Tiruppur
18,Event18,description18,competition|infotainment,177,19,36,Thrissur
19,Event19,description19,infotainment,152,5,29,Mysore
20,Event20,description20,music|dance|freeentry,277,13,33,Kottayam
21,Event21,description21,freeentry|competition,326,15,40,Thrissur
22,Event22,description22,freeentry,329,47,2,Tiruppur
23,Event23,description23,sports|competition,317,31,21,Chittoor
24,Event24,description24,infotainment|outdoor|entertainment,468,20,18,Thrissur
25,Event25,description25,sports|competition|technology,408,21,19,Bangalore
26,Event26,description26,freeentry,122,32,28,Kolar
27,Event27,description27,entertainment,271,13,7,Nellore
28,Event28,description28,online|outdoor,177,35,2,Hyderabad
29,Event29,description29,food|freeentry|entertainment,62,23,1,Karur
30,Event30,description30,food|dance|outdoor,198,36,20,Salem
31,Event31,description31,freeentry,489,1,4,Mysore
32,Event32,description32,infotainment|competition,439,42,18,Chikkamagaluru
33,Event33,description33,technology,171,1,36,Kasargod
34,Event34,description34,infotainment,297,40,18,Hassan
35,Event35,description35,infotainment|online,413,21,32,Karur
36,Event36,description36,infotainment,369,40,30,Alappuzha
37,Event37,description37,outdoor|food|sports,299,29,18,Nizamabad
38,Event38,description38,dance,389,3,12,Kurnool
39,Event39,description39,technology,431,2,9,Kochi
40,Event40,description40,infotainment,288,12,27,Kadapa
41,Event41,description41,dance,428,50,26,Belgaum
42,Event42,description42,outdoor|technology|music,363,12,17,Mandya
43,Event43,description43,music|online,187,2,13,Madurai
44,Event44,description44,competition|entertainment|online,177,36,17,Kochi
45,Event45,description45,technology|outdoor,455,18,32,Kolar
46,Event46,description46,technology|outdoor,497,9,19,Mangalore
47,Event47,description47,infotainment|dance|entertainment,272,42,24,Belgaum
48,Event48,description48,outdoor,256,28,1,Tiruchirappalli
49,Event49,description49,online,487,13,28,Karur
50,Event50,description50,sports|dance,202,25,17,Chennai
51,Event51,description51,entertainment,89,8,12,Anantapur
52,Event52,description52,sports|music|infotainment,432,25,18,Hosur
53,Event53,description53,outdoor|music|sports,427,9,24,Pathanamthitta
54,Event54,description54,dance|entertainment|freeentry,394,40,23,Visakhapatnam
55,Event55,description55,dance|online|outdoor,494,47,34,Kottayam
56,Event56,description56,competition|entertainment,492,8,37,Guntur
57,Event57,description57,music|technology,337,35,34,Kadapa
58,Event58,description58,dance|food|outdoor,327,7,5,Kannur
59,Event59,description59,competition,306,28,33,Thanjavur
60,Event60,description60,music|entertainment,175,36,9,Mandya
61,Event61,description61,freeentry|sports|infotainment,416,43,11,Belgaum
62,Event62,description62,freeentry,126,33,20,Davangere
63,Event63,description63,technology|online|competition,306,38,9,Kakinada
64,Event64,description64,entertainment|outdoor,133,1,39,Kakinada
65,Event65,description65,outdoor,307,38,24,Kottayam
66,Event66,description66,dance|infotainment|freeentry,181,49,36,Warangal
67,Event67,description67,infotainment|online,32,49,15,Shimoga
68,Event68,description68,sports|competition|entertainment,19,2,19,Palakkad
69,Event69,description69,infotainment|online,328,23,8,Thiruvananthapuram
70,Event70,description70,freeentry,235,4,38,Mandya
71,Event71,description71,infotainment,168,48,25,Tiruppur
72,Event72,description72,food,92,6,14,Chittoor
73,Event73,description73,technology|online|food,308,48,7,Kurnool
74,Event74,description74,infotainment,424,37,7,Vijayawada
75,Event75,description75,competition|food|sports,14,49,5,Vijayawada
76,Event76,description76,sports,214,27,5,Mangalore
77,Event77,description77,food,331,7,14,Kozhikode
78,Event78,description78,music|entertainment|technology,475,13,8,Mysore
79,Event79,description79,sports,317,34,9,Visakhapatnam
80,Event80,description80,freeentry|technology,65,31,13,Nizamabad
81,Event81,description81,competition|technology,475,1,1,Chittoor
82,Event82,description82,food,131,18,27,Thanjavur
83,Event83,description83,technology|dance,403,2,20,Palakkad
84,Event84,description84,sports,486,12,3,Chennai
85,Event85,description85,infotainment|dance|online,463,14,35,Belgaum
86,Event86,description86,music,278,49,39,Kadapa
87,Event87,description87,outdoor|food,261,6,12,Hassan
88,Event88,description88,technology|online,238,46,35,Thrissur
89,Event89,description89,online,161,4,5,Alappuzha
90,Event90,description90,music|outdoor,367,21,40,Davangere
91,Event91,description91,outdoor|freeentry,294,16,22,Vijayawada
92,Event92,description92,music|technology|food,389,33,27,Shimoga
93,Event93,description93,online|competition,260,5,27,Davangere
94,Event94,description94,freeentry|entertainment|infotainment,407,25,2,Salem
95,Event95,description95,infotainment,258,31,32,Gulbarga
96,Event96,description96,food,105,16,7,Thiruvananthapuram
97,Event97,description97,infotainment|freeentry|competition,187,28,7,Thanjavur
98,Event98,description98,infotainment|competition|freeentry,496,4,29,Tiruchirappalli
99,Event99,description99,music|freeentry|food,135,43,36,Mandya
100,Event100,description100,competition,280,47,1,Ooty
101,Event101,description101,outdoor|technology|infotainment,210,30,26,Madurai
102,Event102,description102,dance|infotainment|entertainment,442,14,1,Kochi
103,Event103,description103,infotainment|sports,480,35,10,Tiruchirappalli
104,Event104,description104,entertainment|freeentry|music,238,3,6,Ooty
105,Event105,description105,dance|infotainment|sports,181,3,1,Chittoor
106,Event106,description106,infotainment,312,29,16,Gulbarga
107,Event107,description107,sports,180,35,15,Kakinada
108,Event108,description108,online|entertainment|sports,269,8,37,Kolar
109,Event109,description109,dance|outdoor,262,40,8,Kakinada
110,Event110,description110,freeentry,181,50,20,Mangalore
111,Event111,description111,dance,20,15,28,Thrissur
112,Event112,description112,sports,486,29,23,Gulbarga
113,Event113,description113,technology,409,19,34,Chittoor
114,Event114,description114,sports|online|outdoor,129,7,29,Vijayawada
115,Event115,description115,infotainment,355,26,36,Hassan
116,Event116,description116,online|technology,473,47,37,Rajahmundry
117,Event117,description117,competition|infotainment|technology,208,49,8,Kurnool
118,Event118,description118,online|outdoor,161,48,31,Kakinada
119,Event119,description119,freeentry|online,126,17,23,Visakhapatnam
120,Event120,description120,sports|freeentry,412,12,1,Chikkamagaluru
121,Event121,description121,entertainment|sports,174,33,38,Pathanamthitta
122,Event122,description122,food|freeentry|dance,332,29,33,Chennai
123,Event123,description123,freeentry|outdoor|sports,243,19,33,Thrissur
124,Event124,description124,infotainment,182,29,20,Tiruchirappalli
125,Event125,description125,technology|infotainment,431,32,27,Warangal
126,Event126,description126,sports|freeentry,302,29,3,Tiruppur
127,Event127,description127,freeentry,193,6,36,Kollam
128,Event128,description128,sports,139,3,5,Tiruppur
129,Event129,description129,music,237,16,29,Mysore
130,Event130,description130,technology,81,6,12,Warangal
131,Event131,description131,entertainment,248,8,21,Alappuzha
132,Event132,description132,food|online|freeentry,439,29,26,Chikkamagaluru
133,Event133,description133,infotainment|freeentry|dance,69,28,8,Palakkad
134,Event134,description134,technology|music|entertainment,55,34,35,Mysore
135,Event135,description135,outdoor|entertainment|dance,281,23,29,Rajahmundry
136,Event136,description136,entertainment,302,44,3,Rajahmundry
137,Event137,description137,freeentry,285,36,23,Madurai
138,Event138,description138,music|dance|food,378,25,38,Hyderabad
139,Event139,description139,technology|music,303,15,34,Hyderabad
140,Event140,description140,technology|entertainment,435,43,23,Tiruppur
141,Event141,description141,technology,26,5,21,Guntur
142,Event142,description142,online,81,7,27,Nizamabad
143,Event143,description143,music|food,251,4,7,Mandya
144,Event144,description144,competition|sports,300,14,39,Chennai
145,Event145,description145,food|competition|music,495,25,27,Hyderabad
146,Event146,description146,online|dance|food,340,38,24,Kozhikode
147,Event147,description147,online,127,15,36,Kadapa
148,Event148,description148,sports,175,48,9,Kakinada
149,Event149,description149,freeentry|competition|dance,301,27,11,Mandya
150,Event150,description150,outdoor|online,174,19,20,Tumkur
151,Event151,description151,sports,446,44,23,Kochi
152,Event152,description152,technology,99,30,27,Tiruppur
153,Event153,description153,competition|online,380,17,35,Anantapur
154,Event154,description154,freeentry|music,218,25,38,Chikkamagaluru
155,Event155,description155,freeentry|infotainment|sports,369,4,37,Warangal
156,Event156,description156,online|sports|music,329,26,14,Kannur
157,Event157,description157,entertainment|dance|technology,77,43,37,Nizamabad
158,Event158,description158,food,313,23,19,Bellary
159,Event159,description159,outdoor|music,141,48,9,Bangalore
160,Event160,description160,online|infotainment|sports,419,9,20,Alappuzha
161,Event161,description161,sports|music,69,27,26,Tumkur
162,Event162,description162,outdoor|entertainment,197,22,2,Rajahmundry
